140607	"Star Wars: The Force Awakens"	en	2015-12-18	28|12|878|14	false
105864	"The Good Dinosaur"	en	2015-11-25	14|16|35|10751|12	false
347969	"The Ridiculous 6"	en	2015-12-11	37|35	false
281957	"The Revenant"	en	2015-12-25	37|18|12|53	false
312221	"Creed"	en	2015-11-25	18	false
227973	"The Peanuts Movie"	en	2015-12-24	35|16|10751|12	false
273248	"The Hateful Eight"	en	2015-12-25	37	false
205775	"In the Heart of the Sea"	en	2015-12-11	12|18|28	false
309809	"Le Petit Prince"	fr	2015-12-24	12|14|16	false
365348	"Normal"	en	2015-12-05	18|27	false
257088	"Point Break"	en	2015-12-24	80|28|53	false
258480	"Carol"	en	2015-11-20	10749|18	false
274479	"Joy"	en	2015-12-25	35|18|36	false
287903	"Krampus"	en	2015-12-04	27|35|14	false
274167	"Daddy's Home"	en	2015-12-25	35	false
321741	"Concussion"	en	2015-12-25	18	false
258509	"Alvin and the Chipmunks: The Road Chip"	en	2015-12-18	16|35|10751|12	false
370665	"Dilwale"	en	2015-12-18	10749|28|35|80|18|10751|10402	false
299824	"鬼吹灯之寻龙诀"	zh	2015-12-18	12|28	false
266294	"Sisters"	en	2015-12-18	10751|35	false
318846	"The Big Short"	en	2015-12-12	18	false
366018	"A Christmas Melody"	en	2015-12-19	10749|10402|10770|35	false
314388	"Shan He Gu Ren"	zh	2015-12-23	18	false
362045	"Bajirao Mastani"	hi	2015-12-18	10752|36|10749	false
372631	"Marvel Super Hero Adventures: Frost Fight!"	en	2015-12-15	16|14	false
270774	"Skiptrace"	en	2015-12-24	28|35	false
361403	"Ich bin dann mal weg"	de	2015-12-24	35	false
371827	"Professor Branestawm Returns"	en	2015-12-24		false
371822	"We're Doomed! The Dad's Army Story"	en	2015-12-22		false
369054	"Christmas Land"	en	2015-12-20	10751	false
373321	"Rise of the Footsoldier Part II"	en	2015-12-12	80	false
293646	"The 33"	en	2015-11-13	36|18	false
367778	"Gethu"	ta	2015-12-24	10749|28|35	false
369819	"Sowkarpettai"	ta	2015-12-24	18|27|35|10749	false
359538	"Le Fantôme de Canterville"	fr	2015-12-23	14|35	false
371029	"Soda : Le rêve américain"	fr	2015-12-23		false
366566	"Le Grand Partage"	fr	2015-12-23	35	false
373534	"The Sound of Music Live!"	en	2015-12-20	18|10402	false
373558	"Taylor Swift: The 1989 World Tour - Live"	en	2015-12-20	99|10402	false
357940	"老炮儿"	zh	2015-12-24	28	false
367778	"Gethu"	ta	2015-12-24	10749|28|35	false
369819	"Sowkarpettai"	ta	2015-12-24	18|27|35|10749	false
359538	"Le Fantôme de Canterville"	fr	2015-12-23	14|35	false
371029	"Soda : Le rêve américain"	fr	2015-12-23		false
366566	"Le Grand Partage"	fr	2015-12-23	35	false
373534	"The Sound of Music Live!"	en	2015-12-20	18|10402	false
373558	"Taylor Swift: The 1989 World Tour - Live"	en	2015-12-20	99|10402	false
357940	"老炮儿"	zh	2015-12-24	28	false
373951	"Masha i Medved"	it	2015-12-23	16|35|10751	false
365966	"Bruder vor Luder"	de	2015-12-24	35	false
369823	"Hello Naan Pei Pesuren"	ta	2015-12-24	18|35|27|10749	false
373976	"The PHD Movie 2"	en	2015-12-23	35	false
364877	"Hello I Am David!"	en	2015-12-24	10402|99	false
373784	"Walang Forever"	en	2015-12-25	18|10749|35	false
373786	"Nilalang"	en	2015-12-25	53|27	false
373778	"Buy Now, Die Later"	en	2015-12-25	53|27|35	false
370687	"Mythica: The Necromancer"	en	2015-12-19		false
370729	"Yellow Day"	en	2015-12-25	14|18|10751	false
372272	"The Family: Tarmouth"	en	2015-12-26	35|80|53	false
336587	"La cerillera"	es	2015-12-24		false
306819	"The Danish Girl"	en	2015-11-27	18	false
364067	"A Very Murray Christmas"	en	2015-12-04	35|10402	false
373785	"Sans filtre"	fr	2015-12-22	35	false
78850	"Vettai Mannan"	ta	2015-12-25	28	false
370646	"Sherlock: The Abominable Bride"	en	2016-01-01	18|9648|28|80	false
373798	"Wesley Safadão & Garota Vip"	pt	2015-12-22	10402	false
364023	"Pasanga 2"	ta	2015-12-25	35|18|10751	false
371624	"Frauen"	de	2015-12-24	35	false
373536	"Joe and Caspar Hit The Road"	en	2015-12-20		false
315056	"Die weiße Schlange"	de	2015-12-24		false
287861	"Toro Loco: Sangriento"	en	2015-12-25	28|12|35	false
371759	"Doctor Who - The Husbands of River Song"	en	2015-12-25		false
362090	"The Adventure of Ben & Holly Movie:Jet Fuel Formula"	en	2015-12-25	28|12|16|35|10751	false
296100	"The Night Before"	en	2015-11-25	35	false
373352	"Mrs. Scooter"	hi	2015-12-20	18	false
363978	"Ko 2"	en	2015-12-25		false
369376	"Karai Oram"	en	2015-12-25	53	false
287982	"VHS Massacre"	en	2015-12-25		false
320912	"Idam Porul Yaeval"	en	2015-12-25	28|18|35|10749	false
373196	"Devil And Angel (E Gun Tian Shi)"	en	2015-12-24		false
367544	"The Spirit of Christmas"	en	2015-12-19		false
369214	"Leftovers"	en	2015-12-25	18	false
